"","dateid","platform","gamemode","mapname","matchid","roundnumber","objectivelocation","winrole","endroundreason","roundduration","clearancelevel","skillrank","role","team","haswon","operator","nbkills","isdead","primaryweapon","primaryweapontype","primarysight","primarygrip","primaryunderbarrel","primarybarrel","secondaryweapon","secondaryweapontype","secondarysight","secondarygrip","secondaryunderbarrel","secondarybarrel","secondarygadget"
"19",20170216,"XONE","BOMB","KAFE_DOSTOYEVSKY",1595647661,4,"BAR-COCKTAIL_LOUNGE","Attacker","BombDeactivated_OneBomb",179,199,"Gold","Attacker",1,1,"SAS-THATCHER",1,1,"L85A2","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","P226_MK_25","Pistols","None","None","None","Suppressor","CLAYMORE"
"20",20170212,"XONE","BOMB","HEREFORD_BASE",2055865621,5,"TV_ROOM-KITCHEN","Defender","BombExploded",233,76,"Gold","Defender",1,1,"SAS-SMOKE",2,0,"FMG-9","Submachine_Guns","Reflex","None","Laser","None","SMG-11","Submachine_Guns","None","None","None","None","IMPACT_GRENADE"
"21",20170221,"PS4","SECURE_AREA","HOUSE",1222576041,2,"GARAGE","Defender","AttackersEliminated",172,159,"Silver","Defender",0,1,"JTF2-FROST",0,0,"9mm_C1","Submachine_Guns","RedDot","None","None","HeavyBarrel","MK1_9mm","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"22",20170216,"XONE","HOSTAGE","OREGON",373594321,2,"DORMS_MAIN_HALL","Attacker","HostageExtracted",144,57,"Copper","Attacker",1,1,"SPETSNAZ-FUZE",0,1,"AK-12","Assault_Rifles","Acog","Vertical","Laser","Suppressor","GSH-18","Pistols","None","None","(null)","Suppressor","BREACH_CHARGE"
"23",20170212,"PS4","SECURE_AREA","SKYSCRAPER",1969590781,2,"2F_TEA_ROOM","Attacker","DefendersEliminated",133,80,"Silver","Attacker",1,1,"SAS-THATCHER",1,0,"L85A2","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","P226_MK_25","Pistols","None","None","None","None","BREACH_CHARGE"
"24",20170212,"XONE","SECURE_AREA","BORDER",3498425849,8,"ARMORY_LOCKERS","Defender","AttackersEliminated",229,37,"Silver","Defender",0,1,"G.E.O.-MIRA",0,1,"ITA12L","Shotguns","RedDot","None","None","None","ITA12S","Shotguns","Reflex","None","None","None","NITRO_CELL"
"25",20170221,"XONE","SECURE_AREA","HOUSE",1886967241,4,"MASTER_BEDROOM","Attacker","DefendersEliminated",123,66,"Copper","Defender",0,0,"BOPE-CAVEIRA",0,1,"M12","Submachine_Guns","Reflex","None","None","Flash","PRB92","Pistols","None","None","None","None","IMPACT_GRENADE"
"26",20170213,"PC","BOMB","HOUSE",2885817629,2,"TRAINING_ROOM-GARAGE","Attacker","DefendersEliminated",191,235,"Platinum","Attacker",1,1,"SWAT-ASH",3,0,"G36C","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","M45_MEUSOC","Pistols","None","None","Laser","Suppressor","BREACH_CHARGE"
"27",20170213,"PC","BOMB","CONSULATE",1749063101,4,"CONSUL_OFFICE-MEEETING_ROOM","Attacker","DefendersEliminated",179,72,"Silver","Attacker",1,1,"SPETSNAZ-GLAZ",2,0,"OTs-03","Marksman_Rifles","RedDot","None","None","MuzzleBrake","PMM","Pistols","None","None","Laser","Suppressor","CLAYMORE"
"28",20170213,"PC","HOSTAGE","BORDER",2192073889,8,"WORKSHOP","Defender","AttackersEliminated",201,52,"Bronze","Defender",1,1,"NAVYSEAL-VALKYRIE",1,0,"MPX","Submachine_Guns","RedDot","Vertical","None","Compensator","D-50","Pistols","None","None","None","None","NITRO_CELL"
"29",20170212,"XONE","HOSTAGE","FAVELAS",1568381301,2,"2F_GROW_ROOM","Attacker","HostageExtracted",127,60,"Silver","Attacker",1,1,"SPETSNAZ-FUZE",0,0,"AK-12","Assault_Rifles","Reflex","Vertical","Laser","Compensator","PMM","Pistols","None","None","None","Suppressor","BREACH_CHARGE"
"30",20170212,"XONE","SECURE_AREA","CONSULATE",685353641,3,"ARCHIVES","Defender","ObjectiveProtected",232,51,"Unranked","Attacker",0,0,"SPETSNAZ-FUZE",0,1,"6P41","Light_Machine_Guns","Reflex","Vertical","None","Flash","PMM","Pistols","None","None","None","MuzzleBrake","BREACH_CHARGE"
"31",20170212,"PC","SECURE_AREA","HOUSE",3381498809,6,"LIVING_ROOM","Attacker","DefendersEliminated",220,68,"Copper","Defender",0,0,"NAVYSEAL-VALKYRIE",2,1,"SPAS-12","Shotguns","Reflex","None","Laser","None","D-50","Pistols","None","None","Laser","None","NITRO_CELL"
"32",20170212,"PC","SECURE_AREA","HEREFORD_BASE",236853041,6,"MASTER_BEDROOM","Defender","AttackersEliminated",230,52,"Unranked","Attacker",1,0,"SAS-SLEDGE",0,1,"L85A2","Assault_Rifles","Acog","Vertical","Laser","MuzzleBrake","SMG-11","Submachine_Guns","RedDot","Vertical","None","Compensator","FRAG_GRENADE"
"33",20170212,"PC","SECURE_AREA","CLUB_HOUSE",3969087809,1,"ARSENAL_ROOM","Defender","ObjectiveProtected",233,104,"Gold","Defender",1,1,"NAVYSEAL-VALKYRIE",0,0,"MPX","Submachine_Guns","RedDot","Vertical","None","MuzzleBrake","D-50","Pistols","None","None","Laser","None","NITRO_CELL"
"34",20170213,"PS4","SECURE_AREA","HOUSE",4249360249,9,"GARAGE","Attacker","DefendersEliminated",160,36,"Copper","Attacker",0,1,"SPETSNAZ-FUZE",1,0,"6P41","Light_Machine_Guns","Acog","None","None","None","PMM","Pistols","None","None","None","None","BREACH_CHARGE"
"35",20170213,"XONE","SECURE_AREA","BORDER",654987561,2,"OFFICES","Defender","AttackersEliminated",178,48,"Unranked","Defender",0,1,"NAVYSEAL-VALKYRIE",1,1,"SPAS-12","Shotguns","EosHolo","None","Laser","None","D-50","Pistols","None","None","Laser","None","NITRO_CELL"
"36",20170213,"PC","BOMB","FAVELAS",1237543721,7,"2F_FOOTBALL_BEDROOM-2F_FOOTBALL_OFFICE","Defender","AttackersEliminated",167,67,"Gold","Attacker",0,0,"GIGN-MONTAGNE",0,1,"Shield","Shield","None","None","None","None","P9","Pistols","None","None","Laser","MuzzleBrake","SMOKE_GRENADE"
"37",20170216,"PS4","BOMB","FAVELAS",1577383321,6,"1F_BIKER'S_APARTMENT-1F_BIKER'S_BEDROOM","Attacker","DefendersEliminated",184,96,"Gold","Attacker",1,1,"SWAT-THERMITE",0,0,"556XI","Assault_Rifles","Reflex","Vertical","None","None","M45_MEUSOC","Pistols","None","None","None","None","CLAYMORE"
"38",20170216,"PS4","SECURE_AREA","BORDER",1962710041,2,"WORKSHOP","Attacker","DefendersEliminated",140,99,"Silver","Defender",0,0,"SPETSNAZ-TACHANKA",0,1,"SASG-12","Shotguns","Reflex","Vertical","None","None","PMM","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"39",20170216,"PS4","BOMB","BARTLETT_U.",2804473729,1,"ROWING_MUSEUM-TROPHY_ROOM","Defender","BombExploded",232,90,"Bronze","Defender",1,1,"BOPE-CAVEIRA",1,1,"M12","Submachine_Guns","Reflex","None","None","HeavyBarrel","PRB92","Pistols","None","None","None","None","IMPACT_GRENADE"
"40",20170213,"PS4","SECURE_AREA","BANK",213038361,1,"CEO_OFFICE","Attacker","DefendersEliminated",223,162,"Silver","Attacker",0,1,"SWAT-THERMITE",0,1,"556XI","Assault_Rifles","Acog","Vertical","Laser","Flash","M45_MEUSOC","Pistols","None","None","Laser","None","CLAYMORE"
"41",20170213,"PS4","HOSTAGE","HOUSE",3249190449,1,"MASTER_BEDROOM","Defender","AttackersEliminated",227,184,"Gold","Defender",1,1,"GSG9-JAGER",2,0,"416-C_CARBINE","Assault_Rifles","EosHolo","Vertical","None","Compensator","P12","Pistols","None","None","None","Suppressor","BARBED_WIRE"
"42",20170221,"XONE","SECURE_AREA","SKYSCRAPER",1049111061,3,"2F_WORK_OFFICE","Attacker","DefendersEliminated",168,45,"Gold","Attacker",0,1,"GIGN-MONTAGNE",0,1,"Shield","Shield","None","None","None","None","P9","Pistols","None","None","Laser","None","SMOKE_GRENADE"
"43",20170213,"PS4","SECURE_AREA","HEREFORD_BASE",1218346521,1,"ARMORY","Defender","AttackersEliminated",231,156,"Gold","Defender",1,1,"SAT-ECHO",2,0,"MP5SD","Submachine_Guns","Acog","Vertical","None","None","BEARING_9","Submachine_Guns","Reflex","None","None","Compensator","DEPLOYABLE_SHIELD"
"44",20170213,"PC","BOMB","BANK",3601175129,3,"LOCKERS-CCTV_ROOM","Defender","AttackersEliminated",190,28,"Unranked","Defender",1,1,"GIGN-DOC",0,0,"MP5","Submachine_Guns","EosHolo","Vertical","None","Flash","LFP586","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"45",20170221,"PS4","SECURE_AREA","CLUB_HOUSE",4242911809,4,"GARAGE","Attacker","DefendersEliminated",179,148,"Platinum","Defender",0,0,"GIGN-DOC",1,1,"MP5","Submachine_Guns","Acog","Vertical","None","MuzzleBrake","P9","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"46",20170213,"XONE","SECURE_AREA","SKYSCRAPER",1175385341,4,"2F_TEA_ROOM","Defender","ObjectiveProtected",234,44,"Unranked","Attacker",1,0,"SAS-SLEDGE",0,1,"L85A2","Assault_Rifles","EosHolo","Vertical","None","MuzzleBrake","SMG-11","Submachine_Guns","None","None","None","None","FRAG_GRENADE"
"47",20170213,"PS4","SECURE_AREA","FAVELAS",2421254149,3,"1F_ARMORY_ROOM","Defender","AttackersEliminated",200,70,"Gold","Defender",1,1,"GSG9-JAGER",1,0,"416-C_CARBINE","Assault_Rifles","EosHolo","Vertical","None","HeavyBarrel","P12","Pistols","None","None","None","None","BARBED_WIRE"
"48",20170216,"XONE","SECURE_AREA","YACHT",370079381,1,"CASINO","Defender","AttackersEliminated",152,105,"Gold","Attacker",0,0,"G.E.O.-JACKAL",0,1,"C7E","Assault_Rifles","Acog","Vertical","None","None","USP40","Pistols","None","None","None","Suppressor","BREACH_CHARGE"
"49",20170212,"PS4","SECURE_AREA","HEREFORD_BASE",1242386681,3,"WORKSHOP","Defender","AttackersEliminated",145,98,"Gold","Defender",1,1,"GSG9-JAGER",0,1,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","HeavyBarrel","P12","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"50",20170212,"PS4","SECURE_AREA","CHALET",854621601,2,"BAR","Attacker","ObjectiveCaptured",98,37,"Bronze","Attacker",1,1,"SWAT-ASH",2,1,"R4-C","Assault_Rifles","Reflex","Vertical","None","HeavyBarrel","M45_MEUSOC","Pistols","None","None","None","None","BREACH_CHARGE"
"51",20170213,"PC","SECURE_AREA","CONSULATE",4193835809,4,"ARCHIVES","Attacker","ObjectiveCaptured",247,193,"Silver","Defender",0,0,"GSG9-JAGER",0,1,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","Compensator","P12","Pistols","None","None","None","None","BARBED_WIRE"
"52",20170213,"PS4","SECURE_AREA","BARTLETT_U.",4239027089,6,"MODEL_HALL","Attacker","DefendersEliminated",134,209,"Unranked","Attacker",1,1,"SPETSNAZ-FUZE",1,0,"AK-12","Assault_Rifles","RedDot","None","None","Compensator","PMM","Pistols","None","None","Laser","None","BREACH_CHARGE"
"53",20170216,"XONE","HOSTAGE","BORDER",2434130229,6,"WORKSHOP","Defender","AttackersEliminated",186,78,"Unranked","Defender",0,1,"GIGN-DOC",1,0,"MP5","Submachine_Guns","RedDot","Vertical","None","Flash","P9","Pistols","None","None","None","Suppressor","DEPLOYABLE_SHIELD"
"54",20170212,"PS4","HOSTAGE","BORDER",858258301,5,"CUSTOMS_INSPECTIONS","Attacker","DefendersEliminated",123,68,"Gold","Attacker",0,1,"SWAT-ASH",2,0,"G36C","Assault_Rifles","Acog","Vertical","None","Suppressor","M45_MEUSOC","Pistols","None","None","None","None","BREACH_CHARGE"
"55",20170212,"PS4","SECURE_AREA","CHALET",3094250909,2,"DINING_ROOM","Defender","AttackersEliminated",223,164,"Platinum","Defender",0,1,"NAVYSEAL-VALKYRIE",2,1,"MPX","Submachine_Guns","EosHolo","Vertical","None","Flash","D-50","Pistols","None","None","None","None","NITRO_CELL"
"56",20170216,"XONE","BOMB","FAVELAS",2687693549,2,"1F_BIKER'S_APARTMENT-1F_BIKER'S_BEDROOM","Defender","AttackersEliminated",225,39,"Unranked","Attacker",1,0,"SPETSNAZ-FUZE",0,1,"AK-12","Assault_Rifles","Reflex","Vertical","None","None","PMM","Pistols","None","None","None","MuzzleBrake","BREACH_CHARGE"
"57",20170213,"XONE","BOMB","FAVELAS",2826477729,5,"2F_FOOTBALL_BEDROOM-2F_FOOTBALL_OFFICE","Attacker","DefendersEliminated",162,60,"Gold","Defender",1,0,"SAS-MUTE",0,1,"MP5K","Submachine_Guns","EosHolo","None","Laser","MuzzleBrake","P226_MK_25","Pistols","None","None","None","None","NITRO_CELL"
"58",20170213,"PS4","SECURE_AREA","FAVELAS",242339701,5,"1F_AUNT'S_APARTMENT","Attacker","DefendersEliminated",232,107,"Silver","Defender",1,0,"SAT-ECHO",0,1,"SuperNova","Shotguns","EosHolo","None","None","None","BEARING_9","Submachine_Guns","EosHolo","None","None","Compensator","DEPLOYABLE_SHIELD"
"59",20170216,"PS4","SECURE_AREA","SKYSCRAPER",1561664161,4,"2F_TEA_ROOM","Defender","AttackersEliminated",157,54,"Silver","Attacker",1,0,"SAS-THATCHER",1,1,"L85A2","Assault_Rifles","EosHolo","Vertical","None","Flash","P226_MK_25","Pistols","None","None","None","None","BREACH_CHARGE"
"60",20170212,"PS4","SECURE_AREA","CONSULATE",3129651809,6,"GARAGE","Attacker","DefendersEliminated",169,125,"Gold","Defender",0,0,"GIGN-DOC",0,1,"MP5","Submachine_Guns","Acog","Vertical","None","Flash","P9","Pistols","None","None","None","MuzzleBrake","BARBED_WIRE"
"61",20170221,"XONE","SECURE_AREA","CONSULATE",1657292761,4,"GARAGE","Attacker","DefendersEliminated",171,26,"Silver","Attacker",1,1,"GIGN-TWITCH",0,0,"HK417","Marksman_Rifles","Acog","Vertical","Laser","MuzzleBrake","P9","Pistols","None","None","None","None","BREACH_CHARGE"
"62",20170213,"PC","SECURE_AREA","BANK",1046382021,2,"CEO_OFFICE","Defender","AttackersEliminated",213,123,"Gold","Attacker",1,0,"JTF2-BUCK",0,1,"CAMRS","Marksman_Rifles","Acog","None","None","MuzzleBrake","MK1_9mm","Pistols","None","None","None","MuzzleBrake","FRAG_GRENADE"
"63",20170212,"PC","SECURE_AREA","KAFE_DOSTOYEVSKY",3156546029,3,"TRAIN_MUSEUM","Attacker","DefendersEliminated",159,63,"Unranked","Defender",1,0,"SAS-SMOKE",0,1,"M590A1","Shotguns","None","None","None","None","SMG-11","Submachine_Guns","None","Vertical","None","Compensator","IMPACT_GRENADE"
"64",20170221,"XONE","SECURE_AREA","KANAL",381036941,4,"COAST_GUARD_OFFICE","Defender","ObjectiveProtected",233,26,"Gold","Defender",0,1,"GSG9-JAGER",0,1,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","None","P12","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"65",20170212,"PS4","SECURE_AREA","KAFE_DOSTOYEVSKY",274740501,1,"TRAIN_MUSEUM","Defender","AttackersEliminated",180,24,"Unranked","Defender",1,1,"SPETSNAZ-KAPKAN",0,1,"SASG-12","Shotguns","None","None","None","None","GSH-18","Pistols","None","None","(null)","None","NITRO_CELL"
"66",20170212,"PS4","SECURE_AREA","PLANE",905506861,5,"MEETING_ROOM","Defender","AttackersEliminated",202,198,"Platinum","Defender",1,1,"SAS-MUTE",1,0,"M590A1","Shotguns","None","None","None","None","P226_MK_25","Pistols","None","None","None","None","NITRO_CELL"
"67",20170212,"XONE","SECURE_AREA","HOUSE",2625197869,3,"MASTER_BEDROOM","Defender","AttackersEliminated",170,97,"Unranked","Attacker",0,0,"SPETSNAZ-GLAZ",2,1,"OTs-03","Marksman_Rifles","None","None","None","MuzzleBrake","PMM","Pistols","None","None","None","Suppressor","CLAYMORE"
"68",20170213,"PC","HOSTAGE","SKYSCRAPER",814700521,4,"2F_WORK_OFFICE","Defender","AttackersEliminated",174,27,"Unranked","Defender",0,1,"SWAT-CASTLE",0,0,"M1014","Shotguns","None","None","None","None","M45_MEUSOC","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"69",20170213,"PS4","HOSTAGE","BANK",1533153681,2,"VAULT","Attacker","DefendersEliminated",148,43,"Bronze","Attacker",1,1,"NAVYSEAL-BLACKBEARD",0,0,"MK17_CQB","Assault_Rifles","EosHolo","Vertical","None","MuzzleBrake","D-50","Pistols","None","None","None","None","STUN_GRENADE"
"70",20170213,"PS4","BOMB","KAFE_DOSTOYEVSKY",1450748381,4,"FIREPLACE_HALL-MINING_ROOM","Defender","AttackersEliminated",224,122,"Gold","Defender",0,1,"GSG9-JAGER",2,0,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","HeavyBarrel","P12","Pistols","None","None","None","MuzzleBrake","DEPLOYABLE_SHIELD"
"71",20170216,"PS4","SECURE_AREA","BARTLETT_U.",3659832009,3,"LIBRARY","Attacker","DefendersEliminated",139,164,"Gold","Attacker",0,1,"GIGN-TWITCH",0,0,"F2","Assault_Rifles","Acog","Vertical","Laser","MuzzleBrake","P9","Pistols","None","None","None","MuzzleBrake","CLAYMORE"
"72",20170221,"PC","HOSTAGE","YACHT",601845961,2,"MAPS_ROOM","Attacker","HostageExtracted",206,48,"Silver","Defender",0,0,"SWAT-CASTLE",1,0,"UMP45","Submachine_Guns","Reflex","Vertical","None","HeavyBarrel","M45_MEUSOC","Pistols","None","None","None","None","IMPACT_GRENADE"
"73",20170212,"PC","HOSTAGE","BANK",1760767681,3,"VAULT","Defender","AttackersKilledHostage",194,43,"Silver","Defender",1,1,"BOPE-CAVEIRA",0,1,"M12","Submachine_Guns","Reflex","None","None","HeavyBarrel","PRB92","Pistols","None","None","None","None","IMPACT_GRENADE"
"74",20170212,"PS4","SECURE_AREA","KANAL",839286761,2,"BOAT_SUPPLIES","Defender","AttackersEliminated",235,114,"Gold","Attacker",1,0,"SAT-HIBANA",0,1,"TYPE-89","Assault_Rifles","Acog","Angle","None","MuzzleBrake","BEARING_9","Submachine_Guns","EosHolo","None","None","Flash","CLAYMORE"
"75",20170221,"PS4","SECURE_AREA","SKYSCRAPER",1934469261,2,"2F_TEA_ROOM","Defender","AttackersEliminated",225,74,"Platinum","Attacker",1,0,"GSG9-IQ",0,1,"AUG_A2","Assault_Rifles","Acog","None","Laser","Compensator","P12","Pistols","None","None","None","None","FRAG_GRENADE"
"76",20170212,"PC","SECURE_AREA","CHALET",1883929541,5,"BAR","Defender","AttackersEliminated",218,106,"Unranked","Attacker",0,0,"GIGN-MONTAGNE",0,1,"Shield","Shield","None","None","None","None","LFP586","Pistols","None","None","None","None","STUN_GRENADE"
"77",20170213,"PC","SECURE_AREA","YACHT",3976323189,7,"CASINO","Attacker","DefendersEliminated",159,28,"Unranked","Defender",0,0,"GSG9-JAGER",0,1,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","HeavyBarrel","P12","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"78",20170213,"PS4","SECURE_AREA","SKYSCRAPER",357384801,3,"2F_WORK_OFFICE","Attacker","DefendersEliminated",170,176,"Unranked","Attacker",0,1,"GIGN-TWITCH",0,0,"F2","Assault_Rifles","Acog","Vertical","None","Compensator","P9","Pistols","None","None","None","Suppressor","CLAYMORE"
"79",20170213,"PS4","SECURE_AREA","KAFE_DOSTOYEVSKY",3830153769,5,"READING_ROOM","Attacker","DefendersEliminated",240,134,"Gold","Defender",1,0,"GSG9-JAGER",1,1,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","HeavyBarrel","P12","Pistols","None","None","None","Suppressor","DEPLOYABLE_SHIELD"
"80",20170213,"XONE","SECURE_AREA","BANK",1790709421,5,"OPEN_AREA","Attacker","DefendersEliminated",214,138,"Platinum","Attacker",0,1,"SWAT-ASH",0,1,"G36C","Assault_Rifles","EosHolo","Angle","None","MuzzleBrake","5.7_USG","Pistols","None","None","None","MuzzleBrake","BREACH_CHARGE"
"81",20170213,"XONE","SECURE_AREA","HEREFORD_BASE",3875115429,5,"ARMORY","Attacker","DefendersEliminated",130,142,"Gold","Defender",1,0,"GIGN-ROOK",0,1,"MP5","Submachine_Guns","Acog","Vertical","None","MuzzleBrake","LFP586","Pistols","None","None","None","None","IMPACT_GRENADE"
"82",20170212,"PS4","SECURE_AREA","CLUB_HOUSE",1834504681,2,"BEDROOM","Attacker","DefendersEliminated",159,36,"Silver","Defender",0,0,"GSG9-BANDIT",0,1,"MP7","Submachine_Guns","Acog","None","None","MuzzleBrake","P12","Pistols","None","None","None","None","NITRO_CELL"
"83",20170216,"PS4","HOSTAGE","SKYSCRAPER",3497301869,2,"1F_BEDROOM","Defender","AttackersKilledHostage",96,10,"Copper","Attacker",1,0,"GIGN-TWITCH",0,0,"F2","Assault_Rifles","EosHolo","Vertical","None","None","LFP586","Pistols","None","None","None","None","CLAYMORE"
"84",20170213,"PS4","SECURE_AREA","KANAL",964784121,4,"SERVER_ROOM","Attacker","DefendersEliminated",156,79,"Gold","Defender",0,0,"SAS-SMOKE",1,1,"M590A1","Shotguns","None","None","Laser","None","SMG-11","Submachine_Guns","Reflex","Vertical","Laser","HeavyBarrel","IMPACT_GRENADE"
